학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
HISE402 - 00	한국사사료학습론	강나리	3	전공선택	"월(4) 교육관 406A호
수(4) 교육관 406A호"	['월', '수']	[[4], [4]]	['교육관 406A호', '교육관 406A호']
HISE407 - 00	서양사특강	이정하	3	전공선택	금(5-6) 교육관 312호	['금']	[[5, 6]]	['교육관 312호']
HISE411 - 00	한국문화사	민병찬	3	전공필수	수(6-8) 교육관 304호	['수']	[[6, 7, 8]]	['교육관 304호']
HISE459 - 00	동양사세미나	정상호	3	전공선택	금(3-4) 교육관 312호	['금']	[[3, 4]]	['교육관 312호']
GEOG101 - 00	도시와국토	손승호	2	교양	목(6-7) 교육관 504호	['목']	[[6, 7]]	['교육관 504호']
GEOG102 - 00	자연과인간생활	하상민	2	교양	화(5-6) 사대신관 232호	['화']	[[5, 6]]	['사대신관 232호']
GEOG104 - 00	관광의역사와문화	최유식	3	교양	목(4-5) 교육관 304호	['목']	[[4, 5]]	['교육관 304호']
GEOG151 - 00	지리학입문	장규진	3	교양	월(6-8) 교육관 504호	['월']	[[6, 7, 8]]	['교육관 504호']
GEOG152 - 00	자연지리학개론	성영배,이준호	3	전공필수	"월(1) 교육관 202호
수(1) 교육관 202호"	['월', '수']	[[1], [1]]	['교육관 202호', '교육관 202호']
GEOG172 - 00	야외지리조사II	김오석	0	전공선택				
GEOG206 - 00	도시지리학	임창민	3	전공필수	"월(3) 교육관 301호
수(3) 교육관 301호"	['월', '수']	[[3], [3]]	['교육관 301호', '교육관 301호']
GEOG208 - 00	기후학	이준호	3	전공선택	수(3-4) 교육관 313호	['수']	[[3, 4]]	['교육관 313호']
GEOG212 - 00	환경지리학(영강)	김오석	3	전공필수	"월(6) 교육관 104호
수(6) 교육관 104호"	['월', '수']	[[6], [6]]	['교육관 104호', '교육관 104호']
GEOG272 - 00	야외지리조사IV	이재열	0	전공선택				
GEOG302 - 00	경제지리학(영강)	이재열	3	전공필수	"화(1) 교육관 501호
목(1) 교육관 501호"	['화', '목']	[[1], [1]]	['교육관 501호', '교육관 501호']
GEOG342 - 00	지리교과논리및논술	양병일	2	전공필수	금(5-6) 교육관 501호	['금']	[[5, 6]]	['교육관 501호']
GEOG344 - 00	지리교과교재연구및지도법	서태열	3	전공필수	"월(2) 교육관 201호
수(2) 교육관 201호"	['월', '수']	[[2], [2]]	['교육관 201호', '교육관 201호']
GEOG351 - 00	사회지리학	최은영	3	전공선택	수(6-8) 교육관 312호	['수']	[[6, 7, 8]]	['교육관 312호']
GEOG352 - 00	아시아지리	천종호	3	전공선택	화(6-8) 교육관 313호	['화']	[[6, 7, 8]]	['교육관 313호']
GEOG365 - 00	자연지리현장조사법	성영배,이준호	3	전공선택	월(3-4) 교육관 724호	['월']	[[3, 4]]	['교육관 724호']
GEOG372 - 00	야외지리조사VI	성영배	0	전공선택				
GEOG450 - 00	아메리카지리	최유식	3	전공선택	화(4-5) 교육관 301호	['화']	[[4, 5]]	['교육관 301호']
GEOG452 - 00	지리학습및평가	조경철	3	전공선택	목(6-8) 교육관 313호	['목']	[[6, 7, 8]]	['교육관 313호']
GEOG457 - 00	지리학사	홍금수	3	전공선택	"화(2) 교육관 310호
목(2) 교육관 310호"	['화', '목']	[[2], [2]]	['교육관 310호', '교육관 310호']
GEOG460 - 00	환경지리교육론	이경규	3	전공선택	금(7-9) 교육관 313호	['금']	[[7, 8, 9]]	['교육관 313호']
GEOG464 - 00	교통지리학	손승호	3	전공선택	목(3-4) 교육관 102호	['목']	[[3, 4]]	['교육관 102호']
GEOG466 - 00	한국지리각론	홍금수	3	전공선택	"월(5) 교육관 309호
수(5) 교육관 309호"	['월', '수']	[[5], [5]]	['교육관 309호', '교육관 309호']
LESE152 - 00	경제통계학(영강)	김동현	3	전공필수	"월(7-8) 생명과학관(동관)101호
수(7-8) 생명과학관(동관)101호"	['월', '수']	[[7, 8], [7, 8]]	['생명과학관(동관)101호', '생명과학관(동관)101호']
LESE154 - 00	세계화와국가경제		3	학문의기초	금(1-2) 생명과학관(동관)101호	['금']	[[1, 2]]	['생명과학관(동관)101호']
LESE205 - 00	공공경제학	김현정	3	전공선택	금(5-6) 생명과학관(동관)101호	['금']	[[5, 6]]	['생명과학관(동관)101호']
LESE212 - 00	응용후생경제학	김현정	3	전공선택	금(3-4) 생명과학관(동관)101호	['금']	[[3, 4]]	['생명과학관(동관)101호']
LESE216 - 00	거시경제분석(영강)	김동현	3	전공선택	"월(4) 생명과학관(동관)102호
수(4) 생명과학관(동관)102호"	['월', '수']	[[4], [4]]	['생명과학관(동관)102호', '생명과학관(동관)102호']
LESE302 - 00	환경경제학	조용성	3	전공선택	"월(2) 생명과학관(동관)101호
수(2) 생명과학관(동관)101호"	['월', '수']	[[2], [2]]	['생명과학관(동관)101호', '생명과학관(동관)101호']
LESE308 - 00	상품선물및옵션거래	양승룡	3	전공선택	"화(5) 생명과학관(동관)102호
목(5) 생명과학관(동관)102호"	['화', '목']	[[5], [5]]	['생명과학관(동관)102호', '생명과학관(동관)102호']
LESE312 - 00	자원가치평가론	이나영	3	전공선택	"화(2) SK미래관 522
목(2) SK미래관 522"	['화', '목']	[[2], [2]]	['SK미래관 522', 'SK미래관 522']
LESE315 - 00	국제금융시장론(영강)	서병선	3	전공선택	"월(3) 생명과학관(동관)101호
수(3) 생명과학관(동관)101호"	['월', '수']	[[3], [3]]	['생명과학관(동관)101호', '생명과학관(동관)101호']
