학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS007 - FE	[진로·창업] 1학년세미나 I	안지훈	1	교양	미정			
GEKS007 - FF	[진로·창업] 1학년세미나 I	고영규	1	교양	미정			
GEKS007 - FG	[진로·창업] 1학년세미나 I	윤철원	1	교양	미정			
GEKS007 - FH	[진로·창업] 1학년세미나 I	송현규	1	교양	미정			
GEKS007 - FI	[진로·창업] 1학년세미나 I	지성길	1	교양	미정			
GEKS007 - FJ	[진로·창업] 1학년세미나 I	고제상	1	교양	미정			
GEKS007 - FK	[진로·창업] 1학년세미나 I	김옥매	1	교양	미정			
GEKS007 - FL	[진로·창업] 1학년세미나 I	구만복	1	교양	미정			
GEKS007 - FM	[진로·창업] 1학년세미나 I	김태성	1	교양	미정			
GEKS007 - FN	[진로·창업] 1학년세미나 I	윤봉준	1	교양	미정			
GEKS007 - FO	[진로·창업] 1학년세미나 I	홍정호	1	교양	미정			
GEKS007 - FP	[진로·창업] 1학년세미나 I	김충호	1	교양	미정			
GEKS007 - FQ	[진로·창업] 1학년세미나 I	구승회	1	교양	미정			
GEKS007 - FR	[진로·창업] 1학년세미나 I	지성욱	1	교양	미정			
GEKS007 - FS	[진로·창업] 1학년세미나 I	오은규	1	교양	미정			
GEKS007 - FT	[진로·창업] 1학년세미나 I	이은진	1	교양	미정			
GEKS007 - FU	[진로·창업] 1학년세미나 I	최해웅	1	교양	미정			
GEKS007 - FV	[진로·창업] 1학년세미나 I	Hunsang Lee	1	교양	미정			
GEKS007 - FW	[진로·창업] 1학년세미나 I	황철상	1	교양	미정			
GEKS007 - FX	[진로·창업] 1학년세미나 I	최태수	1	교양	미정			
GEKS007 - FY	[진로·창업] 1학년세미나 I	임경태	1	교양	미정			
GEKS007 - FZ	[진로·창업] 1학년세미나 I	김기덕	1	교양	미정			
GEKS007 - G1	[진로·창업] 1학년세미나 I	김기덕	1	교양	미정			
GEKS007 - G2	[진로·창업] 1학년세미나 I	정남현	1	교양	미정			
GEKS007 - G3	[진로·창업] 1학년세미나 I	유승권	1	교양	미정			
GEKS007 - G4	[진로·창업] 1학년세미나 I	김형기	1	교양	미정			
GEKS007 - G5	[진로·창업] 1학년세미나 I	이호정	1	교양	미정			
GEKS007 - G6	[진로·창업] 1학년세미나 I	김종훈	1	교양	미정			
GEKS007 - G7	[진로·창업] 1학년세미나 I	김욱	1	교양	미정			
GEKS007 - G8	[진로·창업] 1학년세미나 I	이철구	1	교양	미정			
GEKS007 - G9	[진로·창업] 1학년세미나 I	황광연	1	교양	미정			
GEKS007 - GA	[진로·창업] 1학년세미나 I	김범석	1	교양	미정			
GEKS007 - GB	[진로·창업] 1학년세미나 I	이동호	1	교양	미정			
GEKS007 - GC	[진로·창업] 1학년세미나 I	이영식	1	교양	미정			
GEKS007 - GD	[진로·창업] 1학년세미나 I	송문정	1	교양	미정			
GEKS007 - GE	[진로·창업] 1학년세미나 I	전태훈	1	교양	미정			
GEKS007 - GF	[진로·창업] 1학년세미나 I	최용석	1	교양	미정			
GEKS007 - GG	[진로·창업] 1학년세미나 I	최인걸	1	교양	미정			
GEKS007 - GH	[진로·창업] 1학년세미나 I	최인걸	1	교양	미정			
GEKS007 - GI	[진로·창업] 1학년세미나 I	송권화	1	교양	미정			
GEKS007 - GJ	[진로·창업] 1학년세미나 I	이병천	1	교양	미정			
GEKS007 - GK	[진로·창업] 1학년세미나 I	김대성	1	교양	미정			
GEKS007 - GL	[진로·창업] 1학년세미나 I	이병천	1	교양	미정			
GEKS007 - GM	[진로·창업] 1학년세미나 I	김대성	1	교양	미정			
GEKS007 - GN	[진로·창업] 1학년세미나 I	박현	1	교양	미정			
GEKS007 - GO	[진로·창업] 1학년세미나 I	박현	1	교양	미정			
GEKS007 - GP	[진로·창업] 1학년세미나 I	정의환	1	교양	미정			
GEKS007 - GQ	[진로·창업] 1학년세미나 I	구강모	1	교양	미정			
GEKS007 - GR	[진로·창업] 1학년세미나 I	배준범	1	교양	미정			
GEKS007 - GS	[진로·창업] 1학년세미나 I	최동욱	1	교양	미정			
GEKS007 - GT	[진로·창업] 1학년세미나 I	이광원	1	교양	미정			
GEKS007 - GU	[진로·창업] 1학년세미나 I	이민석	1	교양	미정			
GEKS007 - GV	[진로·창업] 1학년세미나 I	김경헌	1	교양	미정			
GEKS007 - GW	[진로·창업] 1학년세미나 I	이성준	1	교양	미정			
